"model","strong_strength","strong_incentive","weak_strength","weak_incentive","incentive"
"joint_w_gini",6,105,5,125,60
"joint_w_gini",6,105,5.5,115,57
"joint_w_gini",6,105,6,105,54
"joint_w_gini",6.5,95,5,125,57
"joint_w_gini",6.5,95,5.5,115,54
"joint_w_gini",6.5,95,6.5,95,51
"joint_w_gini",7.5,85,5,125,51
"joint_w_gini",7.5,85,6,105,48
"joint_w_gini",7.5,85,7.5,85,44
"joint_w_gini",8,75,5,125,48
"joint_w_gini",8,75,6.5,95,44
"joint_w_gini",8,75,8,75,38
"joint_w_gini",9.5,65,5,125,44
"joint_w_gini",9.5,65,6.5,95,39
"joint_w_gini",9.5,65,9.5,65,35
"joint_wo_gini",6,105,5,125,63
"joint_wo_gini",6,105,5.5,115,57
"joint_wo_gini",6,105,6,105,57
"joint_wo_gini",6.5,95,5,125,57
"joint_wo_gini",6.5,95,5.5,115,57
"joint_wo_gini",6.5,95,6.5,95,51
"joint_wo_gini",7.5,85,5,125,57
"joint_wo_gini",7.5,85,6,105,51
"joint_wo_gini",7.5,85,7.5,85,44
"joint_wo_gini",8,75,5,125,51
"joint_wo_gini",8,75,6.5,95,44
"joint_wo_gini",8,75,8,75,38
"joint_wo_gini",9.5,65,5,125,44
"joint_wo_gini",9.5,65,6.5,95,44
"joint_wo_gini",9.5,65,9.5,65,38
"safe_joint_w_gini",6,105,5,125,85
"safe_joint_w_gini",6,105,5.5,115,85
"safe_joint_w_gini",6,105,6,105,82
"safe_joint_w_gini",6.5,95,5,125,82
"safe_joint_w_gini",6.5,95,5.5,115,82
"safe_joint_w_gini",6.5,95,6.5,95,76
"safe_joint_w_gini",7.5,85,5,125,79
"safe_joint_w_gini",7.5,85,6,105,76
"safe_joint_w_gini",7.5,85,7.5,85,73
"safe_joint_w_gini",8,75,5,125,76
"safe_joint_w_gini",8,75,6.5,95,69
"safe_joint_w_gini",8,75,8,75,66
"safe_joint_w_gini",9.5,65,5,125,70
"safe_joint_w_gini",9.5,65,6.5,95,66
"safe_joint_w_gini",9.5,65,9.5,65,60
